"","SAMPLE_ID","CLAY","SILT","SAND","SOC","CaCO3","N","P","K","CEC","GPS_PROJ","GPS_LAT","GPS_LONG","LC1","LC2","LU1","LU2","MINERAL","COUNTRY"
"1","1093",4,18,78,22.2,0,1.7,80.5,10.7,7.7,"WGS84",52.64524,9.33543,"B21","8","U111","8","mineral","GERMANY"
"2","1094",16,34,51,13,2,1.5,43.8,183.7,13.1,"WGS84",52.57206,9.12973,"B55","8","U111","8","mineral","GERMANY"
"3","1095",18,38,43,19.9,2,1.8,50.1,196.1,14.3,"WGS84",53.0017,8.91282,"B32","8","U111","8","mineral","GERMANY"
"4","1096",5,11,84,12.1,0,1.2,105,166.4,2.4,"WGS84",52.80699,9.33269,"B16","8","U111","8","mineral","GERMANY"
"5","1097",1,3,95,21.7,1,0.9,0,30.4,2.2,"WGS84",52.77242,9.6592,"C20","8","U120","8","mineral","GERMANY"
"6","1098",8,25,67,28.4,0,1.6,58.7,132.8,8.7,"WGS84",52.84398,9.56963,"B16","8","U111","8","mineral","GERMANY"
"7","1099",6,20,75,22.1,0,1.6,31.3,60.8,4.1,"WGS84",52.82541,9.48083,"B13","8","U111","8","mineral","GERMANY"
"8","1100",4,17,79,32.7,1,1.6,0,30.8,4,"WGS84",52.96874,9.33026,"C20","8","U120","8","mineral","GERMANY"
"9","1101",4,10,86,10.3,1,0.9,64.5,54.4,2.9,"WGS84",52.53668,9.21888,"B16","8","U111","8","mineral","GERMANY"
"10","1103",6,17,77,36.5,1,1.9,68.5,93.5,6.9,"WGS84",52.98748,9.47889,"B11","8","U111","8","mineral","GERMANY"
"11","1104",4,9,87,40.1,0,2.3,36.6,152.5,10.6,"WGS84",53.00591,9.56811,"E20","8","U111","8","mineral","GERMANY"
"12","1105",2,6,92,33.9,0,2.3,36.4,29,5.5,"WGS84",53.09589,9.65663,"E20","8","U111","8","mineral","GERMANY"
"13","1106",1,7,91,53.1,0,2.2,23.5,53.4,5.9,"WGS84",53.11417,9.71636,"C10","8","U400","8","mineral","GERMANY"
"14","1107",7,9,84,99.5,1,5.3,59.8,121.4,27.4,"WGS84",53.09318,9.11935,"B16","8","U111","8","mineral","GERMANY"
"15","1110",3,17,80,41,0,2.2,23.4,29.5,10.2,"WGS84",53.31117,9.5349,"B16","8","U111","8","mineral","GERMANY"
"16","1114",3,5,93,60.5,1,2.5,130,114.8,13.5,"WGS84",52.62154,8.65624,"B16","8","U111","8","mineral","GERMANY"
"17","1115",6,17,76,26.4,0,1.8,65.6,129.6,9.2,"WGS84",53.40078,9.47384,"B11","8","U111","8","mineral","GERMANY"
"18","1116",3,9,89,54.3,0,2.3,63.3,82.2,13.3,"WGS84",53.41665,9.11273,"B16","8","U111","8","mineral","GERMANY"
"19","1119",3,13,84,21.1,1,1.6,89.1,50.5,4.6,"WGS84",53.50691,9.20117,"B13","8","U111","8","mineral","GERMANY"
"20","1120",5,17,78,24.5,3,1.9,87,59.8,6.6,"WGS84",53.50864,9.47265,"B14","8","U111","8","mineral","GERMANY"
"21","1122",4,12,84,13.3,1,1.3,138.3,117.4,3.7,"WGS84",52.20204,11.799279,"B14","8","U111","8","mineral","GERMANY"
"22","1123",15,57,28,10.5,1,1.2,53.9,219.9,10.1,"WGS84",52.204971,11.594547,"B11","8","U111","8","mineral","GERMANY"
"23","1124",17,77,6,19,50,2,0,288.6,20.4,"WGS84",52.187391,11.564668,"B11","8","U111","8","mineral","GERMANY"
"24","1125",12,83,4,11.5,95,1.3,10.2,170.8,10.8,"WGS84",52.207548,11.389792,"B13","8","U111","8","mineral","GERMANY"
"25","1126",19,76,5,18.6,3,1.8,70,569.9,18.7,"WGS84",52.116997,11.445386,"B22","8","U111","8","mineral","GERMANY"
"26","1127",17,73,9,18.3,12,1.8,24.7,295.3,17.5,"WGS84",52.0129,11.12126,"B32","8","U111","8","mineral","GERMANY"
"27","1128",11,22,67,42.9,0,2.3,14,78,7.9,"WGS84",52.30104,11.04091,"C30","8","U120","8","mineral","GERMANY"
"28","1129",24,71,6,19.7,44,1.9,49.3,351.4,23.3,"WGS84",52.02888,11.29679,"B11","8","U111","8","mineral","GERMANY"
"29","1131",3,9,88,79.6,0,3.3,54,58.2,8.4,"WGS84",52.35098,11.42365,"C20","8","U120","8","mineral","GERMANY"
"30","1132",3,7,89,10.9,0,0.7,48.4,37.5,2.3,"WGS84",52.31466,11.45183,"E20","8","U400","8","mineral","GERMANY"
"31","1134",21,27,52,13.3,3,1.7,44.7,290.2,14,"WGS84",52.33614,11.12969,"B22","8","U111","8","mineral","GERMANY"
"32","1135",7,21,72,25.3,1,1.8,24.6,61.7,5.8,"WGS84",52.31755,11.1879,"C10","8","U120","8","mineral","GERMANY"
"33","1136",21,73,7,19.6,13,2,21.6,247.3,22,"WGS84",52.11934,11.24105,"B11","8","U111","8","mineral","GERMANY"
"34","1137",13,81,5,13.3,30,1.6,13.1,184.8,14.2,"WGS84",52.189231,11.418473,"B11","8","U111","8","mineral","GERMANY"
"35","1138",21,71,8,23,2,2,20.3,157,21.6,"WGS84",52.009871,11.383667,"B11","8","U111","8","mineral","GERMANY"
"36","1140",26,25,49,14.5,3,1.5,39.2,210.5,19.9,"WGS84",52.05959,11.706046,"B11","8","U111","8","mineral","GERMANY"
"37","1141",11,22,68,9.7,1,1,41.5,144.4,9.9,"WGS84",52.39346,10.661,"B32","8","U111","8","mineral","GERMANY"
"38","1142",NA,NA,NA,404.2,1,21.6,215.8,281.8,24.8,"WGS84",52.48345,10.66241,"C10","8","U120","8","organic","GERMANY"
"39","1143",2,10,87,25,1,1.5,60.1,44.2,0,"WGS84",52.46437,10.83863,"B14","8","U111","8","mineral","GERMANY"
"40","1144",5,39,55,31.3,2,1.5,0,38.7,5.7,"WGS84",52.37468,10.8076,"C30","8","U120","8","mineral","GERMANY"
"41","1145",3,11,85,15.3,0,1.3,61.2,100.8,5.8,"WGS84",52.53607,10.8695,"B21","8","U111","8","mineral","GERMANY"
"42","1146",4,22,73,78.7,0,4.4,38,102.4,6.1,"WGS84",52.60751,10.93002,"C10","8","U150","8","mineral","GERMANY"
"43","1147",5,24,71,15.6,0,1.2,62.7,119.2,3.9,"WGS84",52.64346,10.93076,"B13","8","U111","8","mineral","GERMANY"
"44","1148",6,54,40,17.6,1,1,0,50.7,4.9,"WGS84",52.6978,10.87263,"C30","8","U120","8","mineral","GERMANY"
"45","1149",1,7,92,32,1,1.1,0,33.7,8,"WGS84",52.62653,10.78269,"C20","8","U120","U150","mineral","GERMANY"
"46","1150",27,15,58,14.1,3,1.6,24.4,374.8,13,"WGS84",52.28399,10.92319,"B11","8","U111","8","mineral","GERMANY"
"47","1151",16,24,59,30.2,1,1.9,10.1,118,8.8,"WGS84",52.3031,10.77694,"C10","8","U120","8","mineral","GERMANY"
"48","1152",7,13,80,63.7,1,3.2,59.2,138.8,10.9,"WGS84",52.53798,10.54529,"B11","8","U111","8","mineral","GERMANY"
"49","1153",7,20,74,57.4,1,3.1,23.1,115,7.6,"WGS84",52.62831,10.42829,"E20","8","U111","8","mineral","GERMANY"
"50","1154",3,8,90,13.2,0,1.1,73.6,111.5,3.5,"WGS84",52.53875,10.33904,"B13","8","U111","8","mineral","GERMANY"
"51","1155",7,13,80,36,62,2.9,299.4,113.4,17.1,"WGS84",52.46708,10.25013,"E20","8","U312","U111","mineral","GERMANY"
"52","1156",59,34,7,46.8,1,3.8,48.8,364.5,33.5,"WGS84",52.44928,9.86765,"F00","8","U112","8","mineral","GERMANY"
"53","1157",2,8,90,16.8,0,1,32.4,26.8,2.9,"WGS84",52.5033,10.01476,"C20","8","U120","8","mineral","GERMANY"
"54","1158",7,15,79,10.2,1,1.1,25.7,44.5,8.8,"WGS84",52.55715,10.13269,"B16","8","U111","8","mineral","GERMANY"
"55","1159",2,1,97,4.6,0,0.2,18.5,21.6,2.5,"WGS84",52.59306,10.16227,"C20","8","U120","8","mineral","GERMANY"
"56","1160",8,20,72,14.4,1,0.8,24.5,46.7,6.7,"WGS84",52.62869,10.31008,"C30","8","U120","8","mineral","GERMANY"
"57","1161",2,10,88,34.4,0,1.2,11.3,35.7,5.6,"WGS84",52.66483,10.2217,"C20","8","U120","U150","mineral","GERMANY"
"58","1162",3,9,88,103.4,0,2.8,16.6,0,10.6,"WGS84",52.66499,10.07388,"C30","8","U120","8","mineral","GERMANY"
"59","1163",6,8,86,19.4,0,1.4,17.2,63.3,8.6,"WGS84",52.62906,10.04429,"C20","8","U120","8","mineral","GERMANY"
"60","1164",5,17,78,28.2,1,2.1,45.2,205.5,7.2,"WGS84",52.66405,10.48774,"B43","8","U111","8","mineral","GERMANY"
"61","1165",4,10,86,37.8,0,1.7,14.2,0,3.5,"WGS84",52.6638,10.54686,"C20","8","U120","8","mineral","GERMANY"
"62","1166",3,7,91,20.3,0,1.6,132.2,0,4.8,"WGS84",52.68297,9.89648,"B13","8","U111","8","mineral","GERMANY"
"63","1167",3,5,92,10.2,1,0.9,33.8,0,6.9,"WGS84",52.55713,9.86733,"E20","8","U111","8","mineral","GERMANY"
"64","1168",4,7,89,13.7,0,1.4,27.9,62.7,4.4,"WGS84",52.53907,9.80837,"B14","8","U111","8","mineral","GERMANY"
"65","1169",11,88,1,21.9,0,1.3,0,33.4,3.5,"WGS84",52.17658,10.86245,"C10","8","U120","8","mineral","GERMANY"
"66","1170",24,63,13,26.1,9,2.4,52.6,380.6,25.6,"WGS84",52.05159,10.74344,"B11","8","U111","8","mineral","GERMANY"
"67","1171",48,49,4,29.6,30,3,78.2,509.7,36.3,"WGS84",52.05242,10.59769,"E20","8","U111","8","mineral","GERMANY"
"68","1172",15,72,13,13.1,3,1.5,53,272.8,14.5,"WGS84",52.12369,10.71547,"B11","8","U111","8","mineral","GERMANY"
"69","1173",30,61,9,42.2,54,4.1,64.8,13.6,39,"WGS84",52.15995,10.65757,"B11","8","U111","8","mineral","GERMANY"
